Title,Source,Content,Result
ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 تصاویری از طغیان رودخانه شهر مسجدسلیمان #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان به دلیل طغیان رودخانه ضروری است.
4. محله: نامشخص"
[Video] 🎥آبگرفتگی معابر ایذه#اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خ [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥آبگرفتگی معابر ایذه #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان به دلیل آبگرفتگی معابر.
4. محله: نامشخص
"
[Photo] ‌🔥محور مسجدسلیمان گلگیر مسدود و آنتن موبایل قطع شدشهردار شهر گلگی:🔹 محور مواصلاتی مس [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",‌ 🔥محور مسجدسلیمان گلگیر مسدود و آنتن موبایل قطع شد شهردار شهر گلگی: 🔹 محور مواصلاتی مسجدسلیمان-گلگیر به دلیل ریزش شدید سنگ، آبگرفتگی و قطع کامل خطوط آنتن موبایل مسدود شد. دو پل ورودی شهر دچار نشست سنگین شده و تلاش‌ها برای بازگشایی مسیر ادامه دارد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: زیرساخت
2. اولویت: High
3. اقدام: بررسی و ترمیم پل‌های ورودی شهر و بازگشایی محور مسدود شده ضروری است.
4. محله: نامشخص
"
[Video] 🎥 پیشرفته‌ترین ماهواره‌های تصویربرداری ایرانی به فضا پرتاب شدند🔹️لحظاتی پیش ۳ ماهوار [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 پیشرفته‌ترین ماهواره‌های تصویربرداری ایرانی به فضا پرتاب شدند 🔹️لحظاتی پیش ۳ ماهوارۀ ایرانی شامل «ظفر۲»، «پایا» و نمونۀ دوم «کوثر» توسط پرتابگر روسی سایوز به مدار نزدیک زمین (لئو) پرتاب شدند. 🔹️این ۳ ماهواره از نوع سنجشی هستند و برای تصویربرداری و ارسال داده‌ها به کار می‌روند. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: متفرقه
2. اولویت: Low
3. اقدام: اطلاع‌رسانی درباره پرتاب ماهواره‌های تصویربرداری ایرانی انجام شد.
4. محله: نامشخص
"
,"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",⛈ شروع بارش باران در اهواز,"
1. موضوع: محیط زیست
2. اولویت: Low
3. اقدام: اطلاع‌رسانی به شهروندان برای آمادگی در برابر بارش باران.
4. محله: نامشخص
"
[Video] 🎥 قلعه‌تل | جاری شدن سیل در برخی از خیابان‌ها و فعال شدن رودخانه‌های فصلی#اطلاع_رسانی [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 قلعه‌تل | جاری شدن سیل در برخی از خیابان‌ها و فعال شدن رودخانه‌های فصلی #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: به شهروندان توصیه می‌شود از تردد در مناطق سیل‌زده خودداری کنند.
4. محله: قلعه‌تل"
[Photo] ⚡️#عکس | رویایی و بی‌نظیر از اصابت صاعقه‌های همزمان امروز در چند نقطه‌ مسجدسلیمان#اطل [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",⚡️#عکس | رویایی و بی‌نظیر از اصابت صاعقه‌های همزمان امروز در چند نقطه‌ مسجدسلیمان #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: Medium
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان در پی وقوع صاعقه.
4. محله: نامشخص
"
